"","collocation","count","count_nested","length","lambda","z"
"1","язык школа",27,27,2,4.86840770882533,19.049055721654
"2","телегр канал",24,24,2,7.6398943312108,17.7877272038455
"3","рустам минниханов",29,29,2,5.58414369955712,17.6646718775239
"4","казанский кремль",18,18,2,5.97539642721205,17.6464883757385
"5","федеральный центр",15,15,2,5.48163049506429,16.3771959390419
"6","премьер министр",14,14,2,5.61377999182971,15.9738665698874
"7","конгресс татарин",20,20,2,6.86041356216153,15.5466046044953
"8","ильсур метшин",13,13,2,5.82933196030098,15.4103401679187
"9","мэр казань",19,19,2,4.16056937853447,14.8292867508627
"10","аппарат президент",16,16,2,5.03476712502859,14.4783174359954
"11","министр образование",11,11,2,5.56196442742079,14.3712040341855
"12","местный элита",12,12,2,4.89256984809577,14.1676494090105
"13","депутат госдума",9,9,2,7.21267212219639,14.1631261310883
"14","вица премьер",10,10,2,7.08793351486292,13.9172750496866
"15","млрд доллар",9,9,2,8.01025648223975,13.8765443054101
"16","уголовный дело",15,15,2,6.95637401150806,13.6480016284996
"17","принимать решение",8,8,2,5.80883288932763,13.1925767473976
"18","банковский система",9,9,2,7.42959277617618,13.0887705977439
"19","минтимер шаймиев",11,11,2,6.3082112502354,13.06215540711
"20","президент рустам",13,13,2,4.38925349434019,12.9234494534762
"21","образование наука",7,7,2,6.83068124589107,12.7116335488258
"22","сей пора",10,10,2,9.82838678002688,12.6545812829923
"23","пресс служба",6,6,2,7.41169178092334,12.5984012254259
"24","друг друг",6,6,2,6.43930196253177,12.3551806143408
"25","область тыс",6,6,2,6.99459834115403,12.3108622395144
"26","администрация путин",10,10,2,5.0983213203062,12.2787687814686
"27","несколько назад",6,6,2,5.87941421309003,11.9282939578044
"28","отдел полиция",5,5,2,7.33568136131603,11.8633367308907
"29","академия наука",5,5,2,7.23556195997995,11.857907754764
"30","спикер госсовет",6,6,2,6.51459372263138,11.829567801039
"31","вкладчик татфондбанк",5,5,2,7.19552068129522,11.7726212589573
"32","команда мэр",8,8,2,4.73937824984932,11.7468534258822
"33","начало х",5,5,2,7.11994123676886,11.6145333130749
"34","проведение кубок",5,5,2,6.93586569660486,11.6140364573578
"35","экс глава",9,9,2,4.65178110658191,11.5487840967199
"36","подписание договор",9,9,2,6.30573385686721,11.5406439519063
"37","сообщать источник",5,5,2,6.34406352113731,11.4244273728224
"38","выборы президент",11,11,2,3.96288385106931,11.4193114227505
"39","эффективный менеджер",5,4,2,8.72988228482659,11.4050888115937
"40","рамзан кадыров",5,5,2,7.04586972745258,11.3631121993639
"41","национальный республика",11,11,2,3.78817759731939,11.2288655755492
"42","чистопольский епархия",5,5,2,8.81414262844433,11.1812244316437
"43","преподавание язык",10,10,2,5.93747946105472,11.1363686144688
"44","ак барс",13,10,2,10.9269631349568,11.134906713792
"45","выступать против",7,7,2,4.67876782386179,11.062530631403
"46","исламский университет",5,5,2,8.16000056248134,11.0273459203954
"47","конфедерация футбол",4,4,2,7.37150726450476,10.9786791175571
